domain,period,exposure_state,origin_state,destination_state,point_estimate,simulation_median,ci95_low,ci95_high,draws
function,2011-2013,P0,F0,F0,0.8172748303446155,0.816717751599557,0.8081950540540521,0.8249039450311504,5000
function,2011-2013,P0,F0,F1,0.0771418284770348,0.076951544090321,0.070350906781108,0.0841039334180115,5000
function,2011-2013,P0,F0,F2,0.0936472563048538,0.0935531279963973,0.0869497838390603,0.1017432130450058,5000
function,2011-2013,P0,F0,D,0.0119360848734957,0.0122659564433302,0.0100464809960061,0.0159390827478734,5000
function,2011-2013,P0,F1,F0,0.6651207044356999,0.6631755814222369,0.6331414320643838,0.6910701847934312,5000
function,2011-2013,P0,F1,F1,0.1710965447995714,0.1699481870691196,0.1467876553805637,0.1958312041449602,5000
function,2011-2013,P0,F1,F2,0.1513569820085889,0.1505718795553637,0.1297102481279716,0.1755004775214091,5000
function,2011-2013,P0,F1,D,0.0124257687561395,0.0132306452130843,0.010455278534833,0.0395482347525805,5000
function,2011-2013,P0,F2,F0,0.5114265774181709,0.511064749587981,0.4807958605212371,0.5451466830964754,5000
function,2011-2013,P0,F2,F1,0.0977890273023186,0.0970621158718848,0.0817262379108876,0.1187870327603771,5000
function,2011-2013,P0,F2,F2,0.3595675543146652,0.3585185488729391,0.3289410390840109,0.387260473607146,5000
function,2011-2013,P0,F2,D,0.0312168409648451,0.0314849649753092,0.0243976775704822,0.0438376634237946,5000
function,2011-2013,P1,F0,F0,0.7489617970830661,0.7479004112287306,0.7303853220012075,0.7646793947413876,5000
function,2011-2013,P1,F0,F1,0.0972726392832574,0.0966786095800038,0.0852993493786936,0.111030396304597,5000
function,2011-2013,P1,F0,F2,0.1422872677578292,0.1418766484747296,0.1282595213726081,0.1581612350481795,5000
function,2011-2013,P1,F0,D,0.0114782958758471,0.012236473019903,0.0079369560866059,0.0225258091947305,5000
function,2011-2013,P1,F1,F0,0.5753344456852985,0.5730506108858302,0.5273472703060242,0.6167406189011543,5000
function,2011-2013,P1,F1,F1,0.1967136947913628,0.1940793998623218,0.1586055871088666,0.2369750036388477,5000
function,2011-2013,P1,F1,F2,0.2127552573521519,0.2108726019402994,0.1816864792708049,0.2449730581009041,5000
function,2011-2013,P1,F1,D,0.0151966021711866,0.0162279141630683,0.0105955291492544,0.052749149991298,5000
function,2011-2013,P1,F2,F0,0.4713626070546963,0.4709495272596349,0.4293784314349056,0.5193342807802925,5000
function,2011-2013,P1,F2,F1,0.1084519809827556,0.1075595339419913,0.0871298626907322,0.1376453415171376,5000
function,2011-2013,P1,F2,F2,0.3937100873939495,0.3920195912061532,0.3511716597955626,0.4325172184873055,5000
function,2011-2013,P1,F2,D,0.0264753245685981,0.027315632120015,0.0206236903540315,0.0375631207579481,5000
function,2011-2013,P2,F0,F0,0.6991897910749759,0.6979372230342485,0.6813009413364889,0.7133082978991967,5000
