domain,period,exposure_state,origin_state,destination_state,point_estimate,simulation_median,ci95_low,ci95_high,draws
pain,2011-2013,F0,P0,P0,0.7567572917768629,0.7537118023692364,0.7328202447533615,0.7649081831713771,5000
pain,2011-2013,F0,P0,P1,0.1273250825116801,0.1263064526798087,0.1171367138167449,0.1362051659270141,5000
pain,2011-2013,F0,P0,P2,0.1034426847324271,0.1057826211131719,0.0968678931540302,0.1309864805658168,5000
pain,2011-2013,F0,P0,D,0.0124749409790294,0.01295613968689,0.010821830601781,0.0165723276569475,5000
pain,2011-2013,F0,P1,P0,0.660167128644665,0.6557537572756875,0.614594890546502,0.6899891140284256,5000
pain,2011-2013,F0,P1,P1,0.1849242796252176,0.1830197456924291,0.1617675130542142,0.2123966585207719,5000
pain,2011-2013,F0,P1,P2,0.143800444795281,0.1428966602852389,0.1240901787491117,0.1967298814104684,5000
pain,2011-2013,F0,P1,D,0.0111081469348354,0.0112970451035452,0.008702634434456,0.031636004234362,5000
pain,2011-2013,F0,P2,P0,0.557861842982718,0.5556876939994408,0.5275878613199155,0.5833449605391606,5000
pain,2011-2013,F0,P2,P1,0.1956117747161941,0.1927849048721135,0.1737275438575748,0.2154669848858087,5000
pain,2011-2013,F0,P2,P2,0.2375998550680195,0.2403025734995144,0.2158991089257526,0.2702907734656167,5000
pain,2011-2013,F0,P2,D,0.0089265272330676,0.0095560478967866,0.0075613128533469,0.0175217606192246,5000
pain,2011-2013,F1,P0,P0,0.7017071711374102,0.6987318208222565,0.6683963555526719,0.7207301208932941,5000
pain,2011-2013,F1,P0,P1,0.1464731541018206,0.1445825405121115,0.1306230953028144,0.1590256483034711,5000
pain,2011-2013,F1,P0,P2,0.1308835037327177,0.1343259522994821,0.1173410333756774,0.1658586711187618,5000
pain,2011-2013,F1,P0,D,0.0209361710280514,0.0213137664636389,0.0159029427305354,0.0293170938593328,5000
pain,2011-2013,F1,P1,P0,0.5618418950975463,0.5560612741600961,0.499022164901927,0.6250215546734985,5000
pain,2011-2013,F1,P1,P1,0.2185599716029628,0.215715388050086,0.1707193037624251,0.2922367704719277,5000
pain,2011-2013,F1,P1,P2,0.2045732675079066,0.2019764095703864,0.1598068679080801,0.2730111865434642,5000
pain,2011-2013,F1,P1,D,0.015024865791584,0.0159985171546619,0.0118995426496724,0.0276263184711836,5000
pain,2011-2013,F1,P2,P0,0.4877791881136614,0.4892304402859387,0.4501786822431612,0.5351876085419897,5000
pain,2011-2013,F1,P2,P1,0.2103445464221444,0.2053190271125684,0.1734820138881601,0.2437945972954195,5000
pain,2011-2013,F1,P2,P2,0.2867277012751716,0.2870334959048211,0.2490149235994226,0.3272415964276854,5000
