characteristic,overall,P0,P1,P2
"Participants, n","21,235","15,057","1,694","4,484"
"Age, years; mean (SD)",58.0 (9.9),57.6 (9.9),58.6 (10.2),59.0 (9.8)
"Women, n (%)","10,695 (50.4)","6,974 (46.3)",917 (54.1),"2,804 (62.5)"
"No formal education, n (%)","4,542 (21.4)","2,829 (18.8)",382 (22.6),"1,331 (29.7)"
"Primary school or below, n (%)","8,747 (41.2)","5,983 (39.7)",736 (43.4),"2,028 (45.2)"
"Middle school, n (%)","4,930 (23.2)","3,780 (25.1)",363 (21.4),787 (17.6)
"High school or above, n (%)","3,016 (14.2)","2,465 (16.4)",213 (12.6),338 (7.5)
"Married/partnered, n (%)","18,707 (88.1)","13,409 (89.1)","1,477 (87.2)","3,821 (85.2)"
"Rural community, n (%)","12,463 (58.7)","8,388 (55.7)","1,049 (61.9)","3,026 (67.5)"
Chronic disease count; mean (SD),1.1 (1.4),0.9 (1.2),1.2 (1.4),1.9 (1.7)
"Function F0/F1/F2, n","15,820 / 2,100 / 3,315","12,373 / 1,292 / 1,392","1,150 / 198 / 346","2,297 / 610 / 1,577"
