domain,period,exposure,transition,fitted_percent,simulation_median_percent,ci95_percent
Pain,2011-2013,F0,P0 → P0,75.68,75.37,73.28-76.49
Pain,2011-2013,F0,P0 → P1,12.73,12.63,11.71-13.62
Pain,2011-2013,F0,P0 → P2,10.34,10.58,9.69-13.10
Pain,2011-2013,F0,P0 → D,1.25,1.30,1.08-1.66
Pain,2011-2013,F2,P0 → P0,58.87,58.62,55.82-61.02
Pain,2011-2013,F2,P0 → P1,17.31,17.14,15.77-18.72
Pain,2011-2013,F2,P0 → P2,20.22,20.46,18.45-23.60
Pain,2011-2013,F2,P0 → D,3.59,3.66,2.88-4.70
Pain,2013-2015,F0,P0 → P0,80.84,80.86,79.90-81.81
Pain,2013-2015,F0,P0 → P1,4.56,4.55,4.18-4.98
Pain,2013-2015,F0,P0 → P2,13.44,13.33,12.50-14.20
Pain,2013-2015,F0,P0 → D,1.17,1.22,1.02-1.64
Pain,2013-2015,F2,P0 → P0,64.83,64.87,61.75-67.77
Pain,2013-2015,F2,P0 → P1,5.79,5.76,5.05-6.65
Pain,2013-2015,F2,P0 → P2,26.05,25.86,23.02-28.94
Pain,2013-2015,F2,P0 → D,3.33,3.42,2.65-4.59
Pain,2015-2018,F0,P0 → P0,63.27,63.10,61.49-64.47
Pain,2015-2018,F0,P0 → P1,12.16,12.05,10.67-13.08
Pain,2015-2018,F0,P0 → P2,23.60,23.63,22.64-25.00
Pain,2015-2018,F0,P0 → D,0.97,1.12,0.85-2.52
Pain,2015-2018,F2,P0 → P0,44.42,44.20,41.44-46.92
Pain,2015-2018,F2,P0 → P1,14.46,14.26,12.14-16.18
Pain,2015-2018,F2,P0 → P2,38.85,38.96,36.53-41.65
Pain,2015-2018,F2,P0 → D,2.27,2.40,1.80-4.41
Pain,2018-2020,F0,P0 → P0,66.53,66.50,65.21-67.73
Pain,2018-2020,F0,P0 → P1,12.39,12.34,11.56-13.23
Pain,2018-2020,F0,P0 → P2,19.34,19.34,18.34-20.44
Pain,2018-2020,F0,P0 → D,1.75,1.79,1.53-2.16
Pain,2018-2020,F2,P0 → P0,46.81,46.63,43.89-49.28
Pain,2018-2020,F2,P0 → P1,14.91,14.76,13.40-16.29
Pain,2018-2020,F2,P0 → P2,33.23,33.21,30.91-35.84
Pain,2018-2020,F2,P0 → D,5.05,5.19,3.89-7.65
Function,2011-2013,P0,F0 → F0,81.73,81.67,80.82-82.49
Function,2011-2013,P0,F0 → F1,7.71,7.70,7.04-8.41
Function,2011-2013,P0,F0 → F2,9.36,9.36,8.69-10.17
Function,2011-2013,P0,F0 → D,1.19,1.23,1.00-1.59
Function,2011-2013,P2,F0 → F0,69.92,69.79,68.13-71.33
Function,2011-2013,P2,F0 → F1,10.50,10.44,9.51-11.47
Function,2011-2013,P2,F0 → F2,18.81,18.75,17.46-20.20
Function,2011-2013,P2,F0 → D,0.77,0.88,0.61-2.19
Function,2013-2015,P0,F0 → F0,80.18,80.10,79.20-80.97
Function,2013-2015,P0,F0 → F1,8.09,8.04,7.39-8.66
Function,2013-2015,P0,F0 → F2,10.53,10.50,9.84-11.16
Function,2013-2015,P0,F0 → D,1.21,1.29,1.03-2.05
Function,2013-2015,P2,F0 → F0,67.46,67.25,65.42-68.95
Function,2013-2015,P2,F0 → F1,10.72,10.63,9.54-11.89
Function,2013-2015,P2,F0 → F2,20.95,20.96,19.42-22.77
Function,2013-2015,P2,F0 → D,0.87,1.01,0.68-2.23
Function,2015-2018,P0,F0 → F0,85.43,85.44,84.75-86.10
Function,2015-2018,P0,F0 → F1,7.31,7.31,6.77-7.88
Function,2015-2018,P0,F0 → F2,6.01,5.99,5.56-6.45
Function,2015-2018,P0,F0 → D,1.24,1.25,1.08-1.47
Function,2015-2018,P2,F0 → F0,76.61,76.36,74.55-77.82
Function,2015-2018,P2,F0 → F1,10.24,10.11,8.63-11.65
Function,2015-2018,P2,F0 → F2,12.47,12.47,11.41-13.84
Function,2015-2018,P2,F0 → D,0.68,0.85,0.51-2.98
Function,2018-2020,P0,F0 → F0,83.74,83.65,82.75-84.44
Function,2018-2020,P0,F0 → F1,5.87,5.80,5.15-6.40
Function,2018-2020,P0,F0 → F2,9.13,9.11,8.48-9.79
Function,2018-2020,P0,F0 → D,1.26,1.38,1.05-2.43
Function,2018-2020,P2,F0 → F0,72.46,72.34,71.09-73.58
Function,2018-2020,P2,F0 → F1,7.97,7.95,7.20-8.77
Function,2018-2020,P2,F0 → F2,18.58,18.57,17.44-19.91
Function,2018-2020,P2,F0 → D,0.99,1.04,0.79-1.76
