domain,from_state,to_state,contrast,log_hr,hr,robust_se_log_hr,ci95_low,ci95_high,p_value
function,F0,F1,P1 vs P0,0.2236152690160344,1.2505897862226452,0.1130902125054358,1.0019603715260539,1.5609148403966924,0.0480057400397158
function,F0,F1,P2 vs P0,0.4190929282333162,1.5205816531914331,0.10585933184619321,1.2356641981954923,1.871194914766469,7.527663977524106e-05
function,F0,F2,P1 vs P0,0.4369537345347241,1.547984457178438,0.09753560455629215,1.2786232966288738,1.8740905831950816,7.466374396305709e-06
function,F0,F2,P2 vs P0,0.7852574305302914,2.192971405866745,0.0848651818318065,1.8569245920468445,2.5898324614507824,2.182807665899867e-20
function,F1,F0,P1 vs P0,-0.18811493768941168,0.8285194736458878,0.11186779455841986,0.6653940782151081,1.0316360494998962,0.09264980550426799
function,F1,F0,P2 vs P0,-0.05083675918664697,0.950433807457511,0.09466709930518526,0.7894772401970246,1.1442057811986381,0.5912637697575032
function,F1,F2,P1 vs P0,0.28083305619292703,1.3242325130637143,0.15882768135373626,0.9699903080260033,1.8078446084927586,0.07703384018034445
function,F1,F2,P2 vs P0,0.3145629161566273,1.3696605236206143,0.1475786436562555,1.0256317606634642,1.829087224006364,0.033048509340634816
function,F2,F0,P1 vs P0,-0.0175567144262572,0.9825965066876505,0.12171773208405022,0.7740463919172756,1.2473359543260543,0.8853099907552198
function,F2,F0,P2 vs P0,-0.01962075367244927,0.9805704805526869,0.10650777810255163,0.7958249743751699,1.208203434538165,0.8538416746136381
function,F2,F1,P1 vs P0,-0.027842498606751885,0.9725415313852974,0.21909017275445655,0.6330162174350976,1.4941750372552423,0.8988752042646782
function,F2,F1,P2 vs P0,-0.10353132527721054,0.9016477779328795,0.16335537128244257,0.6546150978189267,1.2419033996618494,0.5262245747710508
function,F0,D,P1 vs P0,-0.14353265218229658,0.8662925133843651,0.46761185517120524,0.3464378337872373,2.166226218833514,0.7588827435853017
function,F0,D,P2 vs P0,-1.175967869346213,0.3085202278637393,0.952620508963017,0.047686637008253166,1.9960462085975978,0.21703312412474787
function,F1,D,P1 vs P0,0.7723845264358036,2.164922418574698,1.3624122286704823,0.14987653231126613,31.271667459676134,0.5707656499942458
function,F1,D,P2 vs P0,0.7008891908583982,2.01554411430229,1.3049059108812906,0.1561830761950984,26.01061635912442,0.591185717478617
function,F2,D,P1 vs P0,-0.21669050517292496,0.8051791295215692,0.2290086772119576,0.5139920335853014,1.2613297254723284,0.34404103083427773
function,F2,D,P2 vs P0,-0.20645383060222383,0.8134638177245563,0.15775064887397686,0.597115269853832,1.108200403096363,0.19062405605918345
