domain,period,exposure_state,origin_state,destination_state,point_estimate,simulation_median,ci95_low,ci95_high,draws
function,2011-2013,P0,F0,F0,0.8172748303446155,0.816717751599557,0.8081950540540521,0.8249039450311504,5000
function,2011-2013,P0,F0,F1,0.0771418284770348,0.07695154409032107,0.07035090678110809,0.08410393341801158,5000
function,2011-2013,P0,F0,F2,0.09364725630485388,0.09355312799639738,0.08694978383906034,0.1017432130450058,5000
function,2011-2013,P0,F0,D,0.011936084873495734,0.012265956443330284,0.010046480996006123,0.01593908274787349,5000
function,2011-2013,P0,F1,F0,0.6651207044356999,0.6631755814222369,0.6331414320643838,0.6910701847934312,5000
function,2011-2013,P0,F1,F1,0.1710965447995714,0.16994818706911963,0.1467876553805637,0.19583120414496022,5000
function,2011-2013,P0,F1,F2,0.15135698200858896,0.15057187955536372,0.12971024812797163,0.1755004775214091,5000
function,2011-2013,P0,F1,D,0.012425768756139544,0.01323064521308435,0.01045527853483306,0.03954823475258058,5000
function,2011-2013,P0,F2,F0,0.5114265774181709,0.511064749587981,0.4807958605212371,0.5451466830964754,5000
function,2011-2013,P0,F2,F1,0.09778902730231868,0.09706211587188483,0.0817262379108876,0.11878703276037715,5000
function,2011-2013,P0,F2,F2,0.35956755431466525,0.35851854887293916,0.32894103908401096,0.38726047360714605,5000
function,2011-2013,P0,F2,D,0.031216840964845116,0.0314849649753092,0.024397677570482244,0.04383766342379465,5000
function,2011-2013,P1,F0,F0,0.7489617970830661,0.7479004112287306,0.7303853220012075,0.7646793947413876,5000
function,2011-2013,P1,F0,F1,0.09727263928325745,0.09667860958000381,0.08529934937869361,0.111030396304597,5000
function,2011-2013,P1,F0,F2,0.14228726775782924,0.1418766484747296,0.12825952137260818,0.15816123504817955,5000
function,2011-2013,P1,F0,D,0.011478295875847144,0.01223647301990305,0.007936956086605976,0.02252580919473052,5000
function,2011-2013,P1,F1,F0,0.5753344456852985,0.5730506108858302,0.5273472703060242,0.6167406189011543,5000
function,2011-2013,P1,F1,F1,0.19671369479136286,0.1940793998623218,0.15860558710886663,0.23697500363884774,5000
function,2011-2013,P1,F1,F2,0.2127552573521519,0.2108726019402994,0.1816864792708049,0.24497305810090417,5000
function,2011-2013,P1,F1,D,0.01519660217118668,0.016227914163068347,0.01059552914925444,0.052749149991298004,5000
function,2011-2013,P1,F2,F0,0.47136260705469635,0.47094952725963496,0.42937843143490567,0.5193342807802925,5000
function,2011-2013,P1,F2,F1,0.10845198098275567,0.10755953394199132,0.08712986269073227,0.13764534151713764,5000
function,2011-2013,P1,F2,F2,0.3937100873939495,0.39201959120615326,0.3511716597955626,0.43251721848730557,5000
function,2011-2013,P1,F2,D,0.026475324568598135,0.027315632120015004,0.020623690354031526,0.03756312075794812,5000
function,2011-2013,P2,F0,F0,0.6991897910749759,0.6979372230342485,0.6813009413364889,0.7133082978991967,5000
function,2011-2013,P2,F0,F1,0.10503603591141965,0.10440822213888223,0.09508396127588252,0.11468763799322275,5000
function,2011-2013,P2,F0,F2,0.18808428076729738,0.18747775275118786,0.17462788878218047,0.20200035447087472,5000
function,2011-2013,P2,F0,D,0.007689892246306895,0.00879679523589455,0.006123777661020441,0.02194695581838355,5000
function,2011-2013,P2,F1,F0,0.5717369321286733,0.5687290067303857,0.5311817869008614,0.6045594972208468,5000
function,2011-2013,P2,F1,F1,0.17815414826141499,0.17566763513493194,0.14973092251989803,0.2060112028360784,5000
function,2011-2013,P2,F1,F2,0.23730215696333926,0.2356502729445146,0.20964272893381786,0.26441404742014174,5000
function,2011-2013,P2,F1,D,0.012806762646572767,0.014032542367132528,0.009421121850746523,0.060429739897694276,5000
function,2011-2013,P2,F2,F0,0.452968807286395,0.452335767094707,0.4208888711752055,0.4903021051881872,5000
function,2011-2013,P2,F2,F1,0.10347563453814215,0.10268233382610192,0.08909704458156861,0.12078443446623711,5000
function,2011-2013,P2,F2,F2,0.4181462030588577,0.4167221311570778,0.3851954679098736,0.4466417916398775,5000
function,2011-2013,P2,F2,D,0.02540935511660536,0.026514143986113126,0.021416034840469503,0.03507959532805561,5000
function,2013-2015,P0,F0,F0,0.8017606248894859,0.801027695011492,0.7920464564640779,0.8096659478591504,5000
function,2013-2015,P0,F0,F1,0.08090717116963525,0.08042711734324814,0.07393696717359376,0.08657174207641678,5000
function,2013-2015,P0,F0,F2,0.1052573003837205,0.10502601541675889,0.09844676878783742,0.11163904085167624,5000
function,2013-2015,P0,F0,D,0.012074903557158453,0.012945210513481947,0.0103313959741206,0.020543956048607218,5000
function,2013-2015,P0,F1,F0,0.5993258055177036,0.5952979882060233,0.5525129717078,0.6292781269370069,5000
function,2013-2015,P0,F1,F1,0.18086204859314592,0.17843302796202148,0.14813316628815534,0.2074270129013213,5000
function,2013-2015,P0,F1,F2,0.20254277199881102,0.2004276336786114,0.17304713849815848,0.22795966019398872,5000
function,2013-2015,P0,F1,D,0.017269373890340386,0.017555257884661467,0.01226486343859007,0.10014420670594032,5000
function,2013-2015,P0,F2,F0,0.3942634566549732,0.3943182646906779,0.3677246382891854,0.4268897211155096,5000
function,2013-2015,P0,F2,F1,0.10568889943641796,0.10462084637498709,0.08578657517573057,0.1276515705892128,5000
function,2013-2015,P0,F2,F2,0.47298574012077976,0.4703852187947125,0.4422222929993449,0.4979258786492899,5000
function,2013-2015,P0,F2,D,0.02706190378782925,0.028486633236310958,0.022697863475014027,0.04161720160749459,5000
function,2013-2015,P1,F0,F0,0.7287625817944583,0.7274063367445158,0.7101476904872671,0.744765589799951,5000
function,2013-2015,P1,F0,F1,0.0989921638907661,0.0980006704580092,0.08725457195455029,0.11002194203148073,5000
function,2013-2015,P1,F0,F2,0.15965060530172281,0.1599018978730762,0.14661491981840727,0.17588779121568301,5000
function,2013-2015,P1,F0,D,0.012594649013052545,0.013717914156392867,0.009850991318517991,0.022269855119781422,5000
function,2013-2015,P1,F1,F0,0.5025438892993986,0.49910150650003393,0.4537644557617443,0.5458195271762715,5000
function,2013-2015,P1,F1,F1,0.19492740410005951,0.19117879431715754,0.15525246852476549,0.23307901554935667,5000
function,2013-2015,P1,F1,F2,0.27613675541252203,0.27411527953539927,0.23159979353999915,0.3212778072734076,5000
function,2013-2015,P1,F1,D,0.026391951188019517,0.026775589655884835,0.015053863085641769,0.09248862193717652,5000
function,2013-2015,P1,F2,F0,0.3583123815524939,0.35789952554539206,0.3271628462579943,0.3928864372289294,5000
function,2013-2015,P1,F2,F1,0.1112342181582157,0.11024297543389047,0.0925674259752627,0.1325219977807097,5000
function,2013-2015,P1,F2,F2,0.5062338157535978,0.5044450172021131,0.46976734439645723,0.5391316188296877,5000
function,2013-2015,P1,F2,D,0.024219584535692434,0.0254284809470574,0.02000465987658094,0.034725656535463105,5000
function,2013-2015,P2,F0,F0,0.6746341605314645,0.6724584487263549,0.6541903808941895,0.6894671617516203,5000
function,2013-2015,P2,F0,F1,0.10719746508379133,0.1063097163941317,0.0954483257456012,0.11889089108413896,5000
function,2013-2015,P2,F0,F2,0.20951355808048383,0.20955366674226755,0.19415220258013766,0.2277409591746218,5000
function,2013-2015,P2,F0,D,0.008654816304260852,0.01005371605634872,0.006790432339862136,0.022304658304757946,5000
function,2013-2015,P2,F1,F0,0.5008727578609732,0.4969719982261753,0.4615788861103587,0.5321191413693097,5000
function,2013-2015,P2,F1,F1,0.1777133079463863,0.17520914961233525,0.1480261104701202,0.2070785531582777,5000
function,2013-2015,P2,F1,F2,0.2986736982644971,0.2965472690082771,0.2613457276829714,0.33494212061702816,5000
function,2013-2015,P2,F1,D,0.02274023592814361,0.023956960287094493,0.013052865582348857,0.0856678314180711,5000
function,2013-2015,P2,F2,F0,0.3445926226764796,0.34416716454089297,0.3201538982028312,0.3727424068129415,5000
function,2013-2015,P2,F2,F1,0.10429271887094507,0.10357080496274314,0.08968964290711699,0.12137137015839694,5000
function,2013-2015,P2,F2,F2,0.5279977957662482,0.5267813585549961,0.49861080914951716,0.5524437950150654,5000
function,2013-2015,P2,F2,D,0.023116862686327348,0.02438876679209701,0.01940595639023369,0.03320303157364394,5000
function,2015-2018,P0,F0,F0,0.8543293632084528,0.8543826874301642,0.8475425653910241,0.8610068177069203,5000
function,2015-2018,P0,F0,F1,0.07312362860211336,0.0730851897414116,0.06773898197300682,0.07882029351171468,5000
function,2015-2018,P0,F0,F2,0.06011181161376332,0.05990711066577366,0.055591098185691294,0.06452204893704235,5000
function,2015-2018,P0,F0,D,0.01243519657567055,0.012542373918900824,0.010785479157498518,0.014685268599525245,5000
function,2015-2018,P0,F1,F0,0.5268286009002657,0.52626452288558,0.4774752957710239,0.5788834789818436,5000
function,2015-2018,P0,F1,F1,0.29546055894338125,0.29494341067458574,0.24908604447502355,0.3447332598268355,5000
function,2015-2018,P0,F1,F2,0.1625841724524032,0.1616252047676096,0.14113825018345633,0.18397146021661004,5000
function,2015-2018,P0,F1,D,0.015126667703949,0.01516256126218052,0.011082850485437258,0.025374340337567462,5000
function,2015-2018,P0,F2,F0,0.27935547176543,0.28085267426818594,0.2594334097447108,0.3207175790793258,5000
function,2015-2018,P0,F2,F1,0.12516339610830646,0.1248872418372055,0.09363270595680138,0.16356958277491102,5000
function,2015-2018,P0,F2,F2,0.5663908971700528,0.5629579350499787,0.530434938556982,0.5871217315194946,5000
function,2015-2018,P0,F2,D,0.029090234956210798,0.02918998327826592,0.02458940562888496,0.0351025897594403,5000
function,2015-2018,P1,F0,F0,0.8039795734377144,0.8021563433983107,0.7842155796660044,0.8185201325849384,5000
function,2015-2018,P1,F0,F1,0.09117878740516636,0.08952778384662773,0.07427334337472637,0.10458900543501659,5000
function,2015-2018,P1,F0,F2,0.09281572042044148,0.09262071908405041,0.08283261166530023,0.10398247357634526,5000
function,2015-2018,P1,F0,D,0.012025918736677476,0.014053305801093548,0.00895017645984654,0.033376918846457375,5000
function,2015-2018,P1,F1,F0,0.44202480559420687,0.4347856797215054,0.3651832758269203,0.501157609457772,5000
function,2015-2018,P1,F1,F1,0.3129571787878019,0.3034634666498257,0.2052548355813299,0.36955905945775597,5000
function,2015-2018,P1,F1,F2,0.22146031632512816,0.21800017765057406,0.1608089490040663,0.27376495971811826,5000
function,2015-2018,P1,F1,D,0.02355769929286321,0.023270055712228174,0.011826513956781118,0.2339358544590352,5000
function,2015-2018,P1,F2,F0,0.25696428721529607,0.2574532806152615,0.22780178043529523,0.29639526000591554,5000
function,2015-2018,P1,F2,F1,0.1283736379041878,0.125566860835825,0.09185044123326633,0.16841895584020453,5000
function,2015-2018,P1,F2,F2,0.5893611768869529,0.5852626946336161,0.5383125844831009,0.6240545076459795,5000
function,2015-2018,P1,F2,D,0.025300897993562783,0.027981734795113247,0.020891842956286478,0.05821954297834855,5000
function,2015-2018,P2,F0,F0,0.7660890024559717,0.7636037113943323,0.745467993655739,0.7782121042901345,5000
function,2015-2018,P2,F0,F1,0.10243827769204222,0.10113014822356026,0.08632394051028734,0.11652027539298061,5000
function,2015-2018,P2,F0,F2,0.12468413965470707,0.1246921364206101,0.11411584535581815,0.13837821541238834,5000
function,2015-2018,P2,F0,D,0.006788580197279031,0.008518442464780483,0.005116812464265809,0.029827806766811057,5000
function,2015-2018,P2,F1,F0,0.4613937600320393,0.45584725868182263,0.4090268349449253,0.49480312411203764,5000
function,2015-2018,P2,F1,F1,0.2853879770820187,0.278535491529879,0.21747714753019337,0.3253079870303998,5000
function,2015-2018,P2,F1,F2,0.23300098018431212,0.2312341093469591,0.18049504844982614,0.2790478917364568,5000
function,2015-2018,P2,F1,D,0.02021728270162986,0.02072746817362009,0.010244048585832449,0.16748822948957673,5000
function,2015-2018,P2,F2,F0,0.2529812408571408,0.25230239244848884,0.23322708716872015,0.2748840618207444,5000
function,2015-2018,P2,F2,F1,0.11801882230548727,0.11635563751753161,0.09932330783945717,0.13495778256768823,5000
function,2015-2018,P2,F2,F2,0.6044904333041266,0.6030048546440403,0.5803605278761043,0.6255495890946791,5000
function,2015-2018,P2,F2,D,0.024509503533245602,0.02630919101508765,0.021391271576833244,0.04269908175511132,5000
function,2018-2020,P0,F0,F0,0.8373673705011735,0.8365040112556046,0.8275109716606759,0.8444255644657287,5000
function,2018-2020,P0,F0,F1,0.05872559563537109,0.05800910843746477,0.051480372952063584,0.06401039904955488,5000
function,2018-2020,P0,F0,F2,0.09128562049518735,0.09107506770195517,0.08483115482051772,0.09786583020402653,5000
function,2018-2020,P0,F0,D,0.012621413368268181,0.013767371130601424,0.010532447506070871,0.024288409469026207,5000
function,2018-2020,P0,F1,F0,0.5938595172176027,0.5884431134742001,0.522634156265393,0.6224299715886596,5000
function,2018-2020,P0,F1,F1,0.17981695915392673,0.17517490065830338,0.13426667700992156,0.20526272587378522,5000
function,2018-2020,P0,F1,F2,0.20454785280442245,0.20275531295008553,0.1601634433875947,0.23388713040328848,5000
function,2018-2020,P0,F1,D,0.02177567082404779,0.022670637703942724,0.016720781490205467,0.1676261610876616,5000
function,2018-2020,P0,F2,F0,0.33755242587763545,0.3366240466950535,0.31040863813975283,0.36674004703699,5000
function,2018-2020,P0,F2,F1,0.0905580796081528,0.08917243487863519,0.07280973852159497,0.10789934544703952,5000
function,2018-2020,P0,F2,F2,0.5234504646721563,0.5213309582792243,0.49291666517653343,0.5493339683284983,5000
function,2018-2020,P0,F2,D,0.04843902984205557,0.05028419173641113,0.039588250578517545,0.07424958855686807,5000
function,2018-2020,P1,F0,F0,0.774687604310187,0.7736205079572824,0.7580944777690005,0.7886721119800617,5000
function,2018-2020,P1,F0,F1,0.07264103960256375,0.07181763270879213,0.06353204694914864,0.08122661199368861,5000
function,2018-2020,P1,F0,F2,0.13950387940922043,0.13920526002859607,0.12668744583979016,0.15317923083967044,5000
function,2018-2020,P1,F0,D,0.013167476678028676,0.014258058906652505,0.010480065134104904,0.023616921993457975,5000
function,2018-2020,P1,F1,F0,0.49781370064390623,0.49418097019602575,0.44162992527276684,0.5467520576658058,5000
function,2018-2020,P1,F1,F1,0.19159578735689714,0.18689382371557434,0.14947780761586726,0.22879567806391568,5000
function,2018-2020,P1,F1,F2,0.2784311392034216,0.2753663995849239,0.2295672886299104,0.32397831079392764,5000
function,2018-2020,P1,F1,D,0.03215937279577501,0.03240855702651615,0.019299226906954955,0.12369934032928528,5000
function,2018-2020,P1,F2,F0,0.3100484710280267,0.3103156646098788,0.2774132324736414,0.34899621250940943,5000
function,2018-2020,P1,F2,F1,0.09394757910710352,0.09300563880834495,0.07224324485581635,0.12063650044625605,5000
function,2018-2020,P1,F2,F2,0.5544262369120878,0.551653469049384,0.5138827849477471,0.587955408914104,5000
function,2018-2020,P1,F2,D,0.04157771295278215,0.04304015422813828,0.03342606141231499,0.057747670758240284,5000
function,2018-2020,P2,F0,F0,0.7245630939541219,0.7234071625480416,0.7108925350202175,0.7357635207294896,5000
function,2018-2020,P2,F0,F1,0.07974131740570756,0.0794907100527329,0.07204817947875136,0.08765259974537193,5000
function,2018-2020,P2,F0,F2,0.1857500513002369,0.18574603466514644,0.17440312569693342,0.19905416766897704,5000
function,2018-2020,P2,F0,D,0.009945537339933837,0.010423403526239742,0.00789371458648089,0.017645846762782483,5000
function,2018-2020,P2,F1,F0,0.5032686137551161,0.501708439284981,0.469021502650703,0.5366726757362917,5000
function,2018-2020,P2,F1,F1,0.17114151105059966,0.1697228221293822,0.1475986372173242,0.19565579018816492,5000
function,2018-2020,P2,F1,F2,0.29691755156265803,0.2956195568808361,0.2680613401622995,0.3268032672002264,5000
function,2018-2020,P2,F1,D,0.02867232363162669,0.029252162806768203,0.019389675690977007,0.05673304515290838,5000
function,2018-2020,P2,F2,F0,0.30049784321000117,0.3003502088743569,0.28122834763901716,0.32124825645411487,5000
function,2018-2020,P2,F2,F1,0.08640193765716668,0.08628523299885837,0.07532666558079641,0.09944116199373924,5000
function,2018-2020,P2,F2,F2,0.5720179385459208,0.570935152139542,0.5500365525813914,0.5917304156333992,5000
function,2018-2020,P2,F2,D,0.04108228058691109,0.041592336747893,0.03521928025763531,0.04988049297974794,5000
