domain,from_state,to_state,contrast,log_hr,hr,robust_se_log_hr,ci95_low,ci95_high,p_value
pain,P0,P1,F1 vs F0,0.12486037956658007,1.1329902534328877,0.11153065208414537,0.9105197410341308,1.4098177738749333,0.2629199539774365
pain,P0,P1,F2 vs F0,0.427800013085634,1.5338792945048452,0.10077800465773708,1.2589463285819165,1.8688530532996361,2.1861873449317637e-05
pain,P0,P2,F1 vs F0,0.07213471059243143,1.074800121273165,0.1285074361133642,0.8354875233685704,1.3826601455773055,0.5745745484974307
pain,P0,P2,F2 vs F0,0.6381513429957805,1.892978175290761,0.09511793333890455,1.5710123078561185,2.28092826148331,1.958902883719152e-11
pain,P1,P0,F1 vs F0,-0.2814566802501408,0.7546836076722796,0.18025602224892692,0.5300634917490212,1.0744889179406476,0.11842295670877102
pain,P1,P0,F2 vs F0,-0.2193686445090772,0.8030256325917182,0.14658404648708073,0.6024965284011286,1.0702968999847955,0.1345134265047646
pain,P1,P2,F1 vs F0,0.3567454267273257,1.4286721218179477,0.1300500044242384,1.1072145178948425,1.843458515645701,0.006085465216752634
pain,P1,P2,F2 vs F0,0.21032923171485193,1.2340842927686912,0.13026964922664352,0.9559981694160189,1.5930616714347046,0.10640423882099158
pain,P2,P0,F1 vs F0,-0.00826356216812544,0.9917704872074663,0.13933963602678956,0.7547495936536954,1.3032252121318106,0.9527090354932649
pain,P2,P0,F2 vs F0,-0.11985113033387475,0.887052482094983,0.1267542402852865,0.6919168833854281,1.1372205605691998,0.3443835576125862
pain,P2,P1,F1 vs F0,-0.10783743730664652,0.8977735290514176,0.17177169708543316,0.6411383802123181,1.2571347065488796,0.5301381476428181
pain,P2,P1,F2 vs F0,-0.4354441497172287,0.6469772484923464,0.17575219584052978,0.4584433942055811,0.9130452425692986,0.013226826360595467
pain,P0,D,F1 vs F0,0.5678431958583781,1.7644573555944214,0.2796437758962484,1.0199375450738082,3.0524513728788785,0.04229611614456599
pain,P0,D,F2 vs F0,1.203222735654242,3.3308340418649784,0.21134570116292156,2.2011614687086363,5.040273315776063,1.247168749988045e-08
pain,P1,D,F1 vs F0,-0.19617664837427481,0.8218670403778428,1.1989088022923649,0.0783916469844753,8.616548548765715,0.8700229510570263
pain,P1,D,F2 vs F0,0.0038322671749442846,1.0038396197000743,0.44954699761633854,0.4159127201134673,2.422849634905794,0.9931983312224922
pain,P2,D,F1 vs F0,0.8586211405293503,2.359904472654138,0.3535331131884388,1.1802145437403324,4.718759948850719,0.015153624267178097
pain,P2,D,F2 vs F0,1.1429734565568448,3.136079511367355,0.25912994042509324,1.8871707943195073,5.211502176285267,1.0298369189118593e-05
