domain,period,exposure_state,origin_state,destination_state,point_estimate,simulation_median,ci95_low,ci95_high,draws
pain,2011-2013,F0,P0,P0,0.7567572917768629,0.7537118023692364,0.7328202447533615,0.7649081831713771,5000
pain,2011-2013,F0,P0,P1,0.1273250825116801,0.12630645267980878,0.11713671381674494,0.1362051659270141,5000
pain,2011-2013,F0,P0,P2,0.1034426847324271,0.10578262111317199,0.09686789315403022,0.1309864805658168,5000
pain,2011-2013,F0,P0,D,0.012474940979029459,0.012956139686890078,0.010821830601781037,0.01657232765694752,5000
pain,2011-2013,F0,P1,P0,0.660167128644665,0.6557537572756875,0.614594890546502,0.6899891140284256,5000
pain,2011-2013,F0,P1,P1,0.18492427962521762,0.18301974569242918,0.16176751305421422,0.21239665852077194,5000
pain,2011-2013,F0,P1,P2,0.14380044479528106,0.14289666028523895,0.12409017874911174,0.1967298814104684,5000
pain,2011-2013,F0,P1,D,0.011108146934835417,0.011297045103545234,0.008702634434456073,0.031636004234362046,5000
pain,2011-2013,F0,P2,P0,0.557861842982718,0.5556876939994408,0.5275878613199155,0.5833449605391606,5000
pain,2011-2013,F0,P2,P1,0.1956117747161941,0.19278490487211355,0.17372754385757486,0.2154669848858087,5000
pain,2011-2013,F0,P2,P2,0.23759985506801956,0.24030257349951448,0.21589910892575262,0.2702907734656167,5000
pain,2011-2013,F0,P2,D,0.008926527233067638,0.009556047896786657,0.007561312853346913,0.017521760619224697,5000
pain,2011-2013,F1,P0,P0,0.7017071711374102,0.6987318208222565,0.6683963555526719,0.7207301208932941,5000
pain,2011-2013,F1,P0,P1,0.14647315410182066,0.14458254051211153,0.13062309530281443,0.15902564830347116,5000
pain,2011-2013,F1,P0,P2,0.1308835037327177,0.13432595229948213,0.11734103337567747,0.16585867111876182,5000
pain,2011-2013,F1,P0,D,0.020936171028051453,0.021313766463638917,0.015902942730535455,0.029317093859332864,5000
pain,2011-2013,F1,P1,P0,0.5618418950975463,0.5560612741600961,0.499022164901927,0.6250215546734985,5000
pain,2011-2013,F1,P1,P1,0.2185599716029628,0.215715388050086,0.17071930376242514,0.29223677047192775,5000
pain,2011-2013,F1,P1,P2,0.20457326750790666,0.20197640957038643,0.15980686790808013,0.2730111865434642,5000
pain,2011-2013,F1,P1,D,0.015024865791584019,0.01599851715466194,0.011899542649672464,0.027626318471183683,5000
pain,2011-2013,F1,P2,P0,0.4877791881136614,0.48923044028593876,0.45017868224316127,0.5351876085419897,5000
pain,2011-2013,F1,P2,P1,0.21034454642214445,0.20531902711256844,0.1734820138881601,0.24379459729541958,5000
pain,2011-2013,F1,P2,P2,0.28672770127517166,0.2870334959048211,0.2490149235994226,0.3272415964276854,5000
pain,2011-2013,F1,P2,D,0.01514856418902255,0.016099236820055818,0.012224840691287087,0.02295973567934754,5000
pain,2011-2013,F2,P0,P0,0.5887279223617349,0.5861869487076272,0.5581664695664407,0.6102015959457587,5000
pain,2011-2013,F2,P0,P1,0.1731218346377516,0.1713801562643656,0.15771085056753506,0.1871665174442992,5000
pain,2011-2013,F2,P0,P2,0.20221186627269133,0.20461665056919434,0.18446206576386454,0.2360383420653059,5000
pain,2011-2013,F2,P0,D,0.035938376727822074,0.03660250891720418,0.028825172558101946,0.046992892361167424,5000
pain,2011-2013,F2,P1,P0,0.5004011091873103,0.49631753558931835,0.45157269870135014,0.5454068230975345,5000
pain,2011-2013,F2,P1,P1,0.22532503697443337,0.22316287595522322,0.18431018453909845,0.28108775901776817,5000
pain,2011-2013,F2,P1,P2,0.2502731111506537,0.24705209548776946,0.20977277741665157,0.31468856839738535,5000
pain,2011-2013,F2,P1,D,0.02400074268760244,0.0250275347107079,0.018807775136519593,0.04010082662484966,5000
pain,2011-2013,F2,P2,P0,0.4101421088550256,0.41178965853651095,0.38080567609181654,0.4532877006737149,5000
pain,2011-2013,F2,P2,P1,0.1982435458000112,0.19529535975456871,0.16915986254682258,0.2328834134987231,5000
pain,2011-2013,F2,P2,P2,0.3688534986643137,0.366912945725972,0.3264059366916504,0.4002536812157156,5000
pain,2011-2013,F2,P2,D,0.022760846680649816,0.023835895026965093,0.018815331106983375,0.03221500981619096,5000
